Game,Date,Marci,Évi,Gyuri,Judit,Boti,Zsolt,Angi,Gábor,Szilvi,Ákos
Race for the Galaxy,2021-07-09,1,2,,,,3,,,,
Blood Rage,2021-07-17,4f,,3,,1,2f,,,,
Race for the Galaxy,2021-07-17,4,2,2,,,1,,,,
Race for the Galaxy,2021-07-17,3,4,1,,,2,,,,
Isle of Skye,2021-07-18,1,2,,,,4,,3,,
Ra,2021-07-18,2,4,,,,1,,3,,
Race for the Galaxy,2021-07-22,3,2,1,,,4,,,,
Brass: Birmingham ,2021-07-23,2,4,,,,1,,3,,
Race for the Galaxy,2021-07-23,1,2,,,,3,,,,
Nidavellir,2021-07-28,3f,2f,1f,4f,,,,,,
Nidavellir,2021-07-28,2,3,1,4,,,,,,
Nidavellir,2021-07-28,3,1,2,4,,,,,,
Race for the Galaxy,2021-07-30,4,2,3,,,1,,,,
Race for the Galaxy,2021-07-30,2,3,1,,,4,,,,
Nidavellir,2021-07-30,4,,1,,,2f,,3f,,
Nidavellir,2021-07-30,5,1,2,,,4,,3,,
Nidavellir,2021-07-30,1,2,4,,,5,,3,,
Nidavellir,2021-07-30,2,,3,,,1,,4,,
Brass: Birmingham ,2021-07-31,2,1,3,4,,,,,,
Nidavellir,2021-07-31,4,2,5,3,,1,,,,
Nidavellir,2021-07-31,3,,1,2,,4,,,,
Brass: Birmingham ,2021-08-02,1,2,3,4,,,,,,
Callisto,2021-08-04,3,,,,,1,2,,,
7 Wonders,2021-08-04,2,4,,,,3,1,5,,
Brutal Kingdom,2021-08-04,2,,,,,4,3,1,,
Evolution,2021-08-06,2f,3f,,,,1f,,,,
Evolution,2021-08-14,3,1,,4f,,2,,,,
Evolution,2021-08-15,3,2,,,,1,,,,
Race for the Galaxy,2021-08-15,1,2,,,,3,,,,
Race for the Galaxy,2021-08-15,2,3,1,,,,,,,
Meadow,2021-08-16,1,2,,3f,,,,,,
Race for the Galaxy,2021-08-16,2,3,,,,1,,,,
Meadow,2021-08-16,4,1,,3,,2f,,,,
Meadow,2021-08-16,2,1,,3,,4,,,,
Evolution,2021-08-18,4,2,,3,,1,,,,
Race for the Galaxy,2021-08-19,2,4,,,,3,,,,
Race for the Galaxy,2021-08-19,3,2,,,,4,,,,
Race for the Galaxy,2021-08-19,1,,3,,,2,,,,
Race for the Galaxy,2021-08-19,2,,1,,,3,,,,
Meadow,2021-08-20,2,3,,1,,,,,,
Race for the Galaxy,2021-08-20,1,,,2,,3,,,,
Race for the Galaxy,2021-08-20,1,,,3,,2,,,,
Race for the Galaxy,2021-08-21,3,2,1,,,,,,,
Evolution,2021-08-21,3,4,1f,5f,,2,,,,
Race for the Galaxy,2021-08-21,3,,2,,,1,,,,
Race for the Galaxy,2021-08-21,3,,1,,,2,,,,
Race for the Galaxy,2021-08-22,2,,3,,,1,,,,
Race for the Galaxy,2021-08-22,2,,1,,,3,,,,
Evolution,2021-08-28,4,2,,,,1,,3f,,
7 Wonders,2021-08-28,3,2,,,,4,,1,,
Little Town,2021-09-05,1,4,,3f,,2f,,,,
Little Town,2021-09-05,3,1,1,,,4,,,,
